Gene,Log2FC,PVal
MSH5,-4.56526250282705,0.0281242031642544
DDX39B,-8.83187880828352,0.0213971880334359
HLA-L,-2.294076762776435,0.0124437450290188
MUCL3,-2.198011126153565,0.0423925124496257
ZNF449,-1.5175056604355173,0.0063052352209706
DANT1,-1.8386185819113887,0.006358343835376
HNRNPH2,-6.460252829540544,0.005921066316643
RPL36A,-3.5636254456803744,0.0057053713583308
MEGF11,-1.7657690808189148,0.0036163736715064
GNB3,-3.0495816923088706,0.034402576266464
ANXA8,-1.579303145508569,0.0194060657249477
PTPN20,-4.18350175675349,0.0068744713783601
BMS1P1,-3.3508902282340656,0.0118447014068764
PARGP1,-7.418873962634971,0.0106445228304431
AGAP4,-6.206073985193616,0.0236430955661112
CBWD3,-3.136920795262397,4.876434388707766e-05
SCX,-5.079152061511316,0.0484395010094213
BOP1,-3.45525723480644,0.0093652847490322
PRKRIP1,-2.1680134569870373,0.0137789618662851
MIR3609,-6.726461589578739,0.0170146213561593
GTF2IP7,-4.421906682173437,0.0028395659338747
GTF2IRD2B,-2.5086081135145624,0.0163234137145247
CASTOR2,-4.869683976317895,0.0078762361575244
CD24,-9.56922750400292,0.0131701131332211
SLC25A26,-1.665189857194489,0.0029091396501441
NBPF14,-3.3661532405588166,0.0005641557894699
LINC01138,-4.5365638757399775,0.0391970344421281
NBPF11,-2.2681765074986098,0.0165275639235272
GPR89B,-1.8300811072829268,0.0379756598182831
NBPF12,-7.256831965685899,0.0118588803971259
LIX1L,-1.6513727186578873,0.0437522558796894
PDZK1,-1.8244894043827051,0.0168436741234784
NBPF20,-6.163281589879595,0.0242668022771142
NBPF8,-2.982199598821946,0.0051817568548559
SEC22B,-4.255644635464626,0.0007680514748775
MIR503HG,-3.2749751057315746,0.0009247844326127
OR13H1,-2.953448559084209,0.0049576618697804
IGSF1,-3.137659849719437,0.049919422743905
LINC00630,-2.703639578971706,0.0082607317614588
FTX,-2.391957562376149,0.0093846127378384
CA5B,-4.487756061980003,0.0149639097646695
ARHGAP8,-5.084254569792317,0.018617759714183
OGFRP1,-1.7187452330714907,0.0086558138210646
FAM227A,-1.5932013175046535,0.0205301500998678
CSNK1E,-4.744332439794073,9.884482056800456e-06
PRAME,-6.341197581345972,0.0218772981036978
DIP2A-IT1,-1.7526550497335358,0.0453109231756678
CBR3-AS1,-2.958287186583848,0.000296358284111
PAXBP1-AS1,-3.006022810441667,0.0006543486551766
PPIAP22,-2.0100372982899586,0.0110759298450202
RTEL1,-1.636624553213765,0.0440916674360598
RTEL1-TNFRSF6B,-6.753319195494015,0.0168151393336574
MIR646HG,-2.710662690656526,0.0007356451731779
PRELID3B,-1.5155377173393678,0.0099581886981374
ATP5F1E,-4.458725609625031,0.0003063375446342
NPEPL1,-1.88580854356155,0.0113055665322104
OSER1-DT,-1.57440271281549,0.0216207056233189
EDEM2,-1.795015051589429,0.0212707241801141
RPL41P1,-4.386382678910921,0.0073136973457719
ZNF761,-2.7288345329751293,0.0234590907099868
ZNF350-AS1,-2.7915455231745705,0.033714423877017
IZUMO1,-2.9829370507828994,0.034277074434229
CEACAMP10,-3.2228974036137488,0.0265870839066298
PSG4,-1.53894988677752,5.2194065560032414e-05
PSG11,-1.8178986848585876,0.0020353559814359
PSG7,-1.991963902610574,4.13542772804573e-05
ITGB1P1,-3.115003075723998,0.0076658442850507
HNRNPA1P10,-1.6183874302471302,0.0107564266967496
P2RY11,-6.320554784285412,0.0220080019402962
PARD6G-AS1,-2.566754097652895,0.0024540048686014
CFAP53,-3.1906254978449904,0.0249957767631467
SNHG22,-1.994893838701069,0.0425244662619157
RN7SL745P,-3.0764325368689662,0.0428745888828429
MIR133A1HG,-1.7022373573393612,0.0465404088566905
ESCO1,-1.9475599540248123,6.847241612055461e-06
MPPE1,-1.548031262232453,0.002188258494866
NDUFV2-AS1,-2.407254488513188,0.023048974843376
LINC01970,-3.0040459888264417,0.0368311764614917
LINC00511,-6.250168177240744,0.0008581241579922
RGS9,-3.5218165322112074,0.0242057977313154
SH3GL1P1,-1.672293580255856,0.0055229438972655
OMG,-2.045427758597935,0.0095241826932125
SH3GL1P2,-2.2222743727495784,0.0045184714761223
SPAG5-AS1,-4.504371498593652,0.0236189481212807
CCDC144CP,-1.5525281758185308,0.0001033625990995
SNORD3C,-4.698912336355293,0.0018870954343801
SNORD3A,-2.57289039495506,0.0010520856904039
SNORD3B-2,-7.139681766406041,0.0063209499432615
SNORD3B-1,-5.26182238544208,0.0025034678279068
PMP22,-1.5575465196417393,0.0439180510794687
EIF4A1,-7.451897341077181,0.0103654964126704
ALOX12-AS1,-3.238731615633017,0.0308761477230602
C17orf100,-2.1454106114560028,0.0438065197419553
HSD17B2,-3.53332735931277,0.0177448790104756
PKD1L2,-2.398758862051068,0.0380385387214575
VAC14-AS1,-3.175711024597188,0.0004097337140287
LRRC29,-3.0267232624942757,0.0370691107048228
CNGB1,-1.78963906104002,0.0478368671093403
CRNDE,-2.7266142960176,0.0008807578986243
HNRNPA1P48,-1.5433177198345118,0.041708442895537
SMG1P5,-1.8233409360054336,0.0008397345282685
EIF3CL,-3.0899831088496854,0.0016321059972782
