Gene,Log2FC,PVal
HCG4,1.7637834418771292,0.0380579701664709
KRT18P1,3.401883031261986,0.0229490081884784
LYPLA2P1,4.02499908282515,0.0011928904925979
HCG21,2.823351486085133,0.0312689744356018
CMC4,2.9361845683960563,0.0033213229356215
L1CAM,1.767135460628939,4.307142128991173e-11
GABRQ,3.1645388734573343,0.0059471555679285
API5P1,3.240810213735835,0.0162858798445378
ESX1,1.66798617748947,0.0036237224544825
RNU6-30P,3.31101124489323,0.0241287733430755
LDHBP2,2.695017678021149,0.028667622160056
FAM156B,1.931502340877638,0.0007222441374817
DGKK,4.063844865386669,0.014544351547226
RNA5SP439,5.330029183983917,0.0002549363935707
IGHV3-76,3.112152910125654,0.0488638200756989
IGHE,3.486102300414492,0.0003654908704688
CRIP2,2.236676441598195,0.0035778518973434
RPL37AP8,2.742059797237366,0.0342545372272537
MMP12,2.2061070799810043,0.0324666073334993
LINC02584,3.340659094873579,0.0229056264078375
FGF3,1.7483233223323205,0.0108210254364877
ATRNL1,2.046541610135754,0.0277228696202955
SYT15,1.6970653447044697,0.0024051129101379
NPY4R,2.2593527578901518,0.0035464910926138
LINC00842,1.592522270502532,0.0365037344440175
PRPF38AP2,4.612971648008879,0.0001891272419101
SNORD36B,4.281096145025666,0.0105592913628415
PSCA,1.6753680673103184,0.0039767552968733
EPHB6,1.571423791758375,0.016527425364548
CLEC5A,2.270308210618307,0.0474659224026547
MIR29A,1.9937545726996957,0.0382476606309807
RNA5SP233,1.940055597697265,0.027872191859818
RN7SL265P,2.440443362507808,0.0038683920425755
SNORA22,2.346850533813196,0.0004239494591375
CICP10,2.576807661559592,0.0145399299088629
ATP6V1B1-AS1,2.5469147639181915,0.0110669994113233
RHEX,3.300614035900096,1.2106428007908358e-05
FCGR1A,2.192247906907438,0.0205085352658855
ANKRD35,2.205261985791916,0.0029749522421508
RNVU1-19,4.75059198708698,0.0120705483788263
WASIR1,3.1470031383698416,0.0325080959740675
MED14P1,3.675408168740229,0.0216743260362073
FERP1,1.731434849138063,0.0324571245386518
MIR421,3.6767397658484513,0.0475463846350578
RAB11FIP1P1,1.6299752819307256,3.901312192214183e-05
CITED1,3.2532999847701123,0.0110692637026957
CXorf49,3.827573292668702,0.0016596919478313
LINC01456,2.6422317947540077,0.0087074905649176
MXRA5,1.6891364969438951,0.0062633902303426
ACR,2.805628668637537,0.0385215932847674
MAPK8IP2,1.5895254140168624,0.0027895363619492
APOBEC3D,1.527973839969864,0.0413850852313247
RN7SL385P,4.918126771270256,3.284080745764823e-05
PDXP,1.6314544700955171,0.0363880983021835
RNU6-564P,4.123890315874027,0.0007191356516507
LIF-AS1,1.8790571517195405,0.0473552854394171
HORMAD2-AS1,2.509712314721778,0.0144443627182062
RN7SL263P,1.825301166259972,0.0179248426144636
BCRP5,3.9208038222918833,0.031446986838512
DGCR6,1.8631615476971568,0.0432344876299646
COL18A1-AS2,2.3681601522543665,0.003650062591549
TFF1,4.281096145025666,0.0105592913628415
KCNJ6,2.3994306374258563,0.0212460622211689
IFNAR2,1.851436515086644,0.031361168482096
ANKRD20A18P,1.712698336462451,0.0006803013576466
RHOT1P2,3.401883031261986,0.0229490081884784
NTSR1,2.884513489933713,2.0770434436262897e-06
RNU7-6P,3.3047349411021445,0.0243082236341777
RNU6-147P,3.3938985022804298,0.023164838561896
SNORD12B,2.50894628148315,0.0316415793358246
SEMG1,3.1790977673235576,0.0397323491631921
VSTM2L,1.5329143164787258,0.0003637572166338
RPL37P1,1.682246390990479,0.0323067002604614
MIR1289-1,3.557718767238456,0.0006208964208563
RPS2P1,2.4682985587508712,0.0391256108404812
EEF1A1P34,3.401883031261986,0.0229490081884784
PA2G4P2,2.743994913020273,8.980104799417573e-06
SNORD57,4.830943068699559,0.0022419845027814
A1BG,2.006122712645929,0.0302765952334768
FAM71E2,3.6464218508370174,0.0197570192371499
RPL37P23,2.360346577897182,0.0005103268903931
SNORD88B,4.403051121524146,0.0158622797657839
LRRC4B,1.8155771094768045,0.0335543624492281
KCNC3,1.6742030598328794,0.0042518021453531
SLC6A21P,2.034532120252047,0.0091692749875325
HRC,2.213779986755801,0.0065372098217445
IFNL1,2.9689109734722705,0.0422916208804985
IGFLR1,3.332151471141945,0.0042238761343235
SCGB1B2P,1.9551322199013947,0.0495592445720826
BNIP3P8,2.1969035127971424,0.0115639017625313
BNIP3P38,2.012177603442636,0.0392917480580304
TMEM221,2.545590509861617,0.0136444293289029
LINC01842,3.232971469505441,0.0063097766668403
RTBDN,4.05875951836596,0.0002211343436271
RNA5SP464,3.0356331372601013,0.0172257241671518
ICAM4,5.881498110811095,1.7456401855860298e-05
SNORD105,2.506770242973843,0.0347177590109865
MIR6885,2.820666374371336,0.0400826859345978
DPP9-AS1,1.7038733676040214,0.0008516736952266
ONECUT3,1.8862598892293472,0.039522618228319
REEP6,1.6049411419568889,0.0003596853290671
EFNA2,2.727941279179106,0.0348840268646312
CFD,1.6377638860301575,2.9745797762937752e-05
ZBTB7C,4.403303893485288,0.0046109438998
ST8SIA5,2.968269349761669,0.0423985470974621
ASXL3,3.76768304131685,0.0122052975090898
CCDC58P3,2.1962943579630494,0.0198598671840993
CYGB,1.9020563295464823,0.0370646513502268
SNORA50C,4.375667514677899,0.0374881221788979
NACA2,1.8451833712027512,0.0195812610825758
RN7SL606P,2.976618862406809,0.0235653578218076
LRRC37A17P,2.13420484753631,0.0297711200540289
SNORD42A,4.520559597625573,0.0343002123157274
TUFMP1,4.717838916223566,3.160481987133599e-07
SCDP1,1.6499502399001955,0.0268648404540504
