Gene,Log2FC,PVal
PSMB9,-2.368723303604184,8.55404404322379e-05
TAP1,-1.8425793018854668,2.3897962817468044e-10
TNXB,-3.2953599565299845,0.0006403045845011
CFB,-3.0648071197736546,0.0098040040524148
C2,-3.29879712473382,0.0342091004154843
DDX39B,-8.927940809480043,0.0108179656455547
HCP5,-5.237396948694419,1.8814089518360392e-06
HLA-B,-3.4591034190640806,9.644617135879215e-10
HCG27,-3.935565688524144,0.0115828292327784
PSORS1C3,-1.7388595329617131,0.0171606881559361
POU5F1,-1.7472489980912749,0.0468424159143337
FLOT1,-1.557211735861937,0.0001732495435552
TRIM31,-5.025900667086514,0.038721335249379
HLA-H,-3.5042417734787863,1.4196977689475502e-05
HLA-V,-5.01543874382967,0.0051786416778917
HLA-F,-4.523282500340478,1.6670651573970792e-08
RN7SL471P,-2.1289893247666893,0.0059270002212323
B3GALT4,-5.44194646463276,0.0233659917721278
FAM50A,-1.699991031589407,4.289361718565027e-08
ABCD1,-3.8764276160873647,7.895626484234896e-07
CD99L2,-1.8819727232320156,1.275393980176963e-06
SLC6A14,-6.150775828361777,7.869065470428602e-08
DANT1,-2.814052694386814,0.0097769271900295
HNRNPH2,-7.481717880214693,0.0248933538845906
RPL36A,-6.490942257627949,0.0162896469047569
PHKA1,-1.8617408444392047,1.4823369692610451e-06
LINC01278,-2.5840945058394538,2.769141268567949e-07
TSPYL2,-1.7470983436064618,0.0008434364972998
CCNB3,-5.110836352430834,0.0335356741496167
KCND1,-2.2217659555346403,0.0022609361046159
PCSK1N,-3.240853329602729,0.0074111034235266
SLC9A7,-3.757618875818328,1.5793611801743928e-19
LINC01311,-2.883054644984174,0.0078361128348248
TSPEAR-AS2,-5.262114242419764,0.0331704577793029
LENG9,-1.5096859411981942,0.0277788280844664
TTYH1,-1.9553636134653156,0.0210670444120193
ZNF558,-1.6478637136099883,0.0002764449367321
MILR1,-4.359216607670485,0.003645472464024
FKBP10,-2.2760650082089526,8.95112037565029e-08
HAP1,-2.7785956306263984,2.969732179726986e-05
KRT34,-3.263660688790878,9.52586786594454e-06
SRCIN1,-6.0858741606937565,0.014060729033525
GPR179,-2.345051122713913,0.0360695350505466
SARM1,-3.4812377350592216,0.0030636889942185
KCNJ12,-6.1088636592145225,0.0114130888152663
C1S,-2.8661732048787,0.0026886900715665
MIR200CHG,-4.85230657613976,0.0433786481614949
C11orf1,-1.5093481136103744,0.0278494964426911
MYO7A,-2.4486900797960254,0.0457127578417939
CAPN5,-3.9634263131800487,2.6139338900986946e-06
SHANK2-AS1,-3.0482679874566885,0.0013007944123117
SHANK2,-2.678500009874673,1.345262758387842e-17
BLNK,-5.223592737196548,0.0295909159212322
WASHC2A,-1.7586247327378903,0.0017749311569913
ZNF488,-1.8674244234510189,0.0043078698676266
PTPN20,-5.941908030817425,0.0238318028782404
BMS1P1,-3.2713047821986176,0.0262623334558728
GPRIN2,-3.778486273100315,7.777675817255265e-05
PARGP1,-7.400166857064647,0.0260106998560982
AGAP4,-6.315625670385707,0.0467214607952097
ALOX5,-8.370006753371506,0.0004608823431003
GPSM1,-2.356769359075789,6.078394258306855e-07
QSOX2,-1.8213042261925767,6.684361413855521e-11
CACFD1,-3.898828373927683,0.0011138308610097
ABO,-3.450255179373864,0.0016219304853419
HMCN2,-4.12349147628824,0.000976194771411
CBWD3,-7.357076225033535,0.0030891894193076
BOP1,-4.262097259886198,0.0400749734218258
MROH1,-2.114803352277536,8.939097055516079e-05
PARP10,-1.526689846010833,3.647261049369608e-05
LY6K,-2.604532602743451,7.22440148066428e-11
PSCA,-5.697102571917833,1.173110929957908e-05
MGAM,-2.0287463992029062,0.007472619635402
LINC00513,-2.8607264394806524,3.7977140972658666e-06
PRKRIP1,-3.281075377840749,0.016179623432601
SH2B2,-2.633350449954128,0.0281386151181908
MIR3609,-6.647037804726703,0.0391872071802466
SRRM3,-5.073207545102931,0.0346745446181619
GTF2IP7,-5.628427590558436,0.0199551750940705
GTF2IP1,-3.5666613441437485,0.0012342666445768
GTF2IRD2B,-2.9668538807129026,0.0347725406949127
CASTOR2,-5.613601292981658,0.0188962341521925
METTL27,-3.5656138343315606,1.2263269583156172e-05
CLDN4,-3.0633990026128965,3.05770439557119e-07
CLDN3,-2.4564124387880204,0.0450679245287494
MLXIPL,-3.6255392363198817,0.001276164636576
GTF2IP4,-2.517634356998234,0.0298370994348143
CCT6P1,-1.915176035156389,0.0024764286476058
LAMA4,-9.779710702898583,4.280120303501544e-05
TUBE1,-1.61878080004261,0.0018790320060483
CD24,-9.139374349629367,0.0098848489626362
OCLN,-3.682681332318443,2.0725385398113206e-09
AADACL2-AS1,-5.823891674751096,0.0160587764012077
SEMA3B,-2.607166901580623,2.0104540814935072e-10
ADD2,-8.861464414898013,0.0002033231673784
RASSF5,-1.829942550958642,7.03927875329683e-05
CIART,-1.89313784960813,0.0099893652969393
NBPF14,-3.502345495743371,0.0202086977349518
NBPF11,-2.9114045905363235,0.0191095820851272
ACP6,-2.32082596626612,1.9307714080396626e-06
NBPF12,-7.398958386409824,0.0260987867103437
TXNIP,-3.319895857269225,1.0326161650904025e-21
NBPF20,-6.272193512930751,0.0476831839076114
SRGAP2B,-3.174605231955006,0.0019446486834567
NBPF8,-2.851310714990293,0.0316204907922523
SEC22B,-4.114886258292086,0.0006633776081095
SPRY3,-2.8362540359694157,0.0004706882271934
EIF1AY,-7.323925662505186,0.0022739633415862
KDM5D,-9.057572601357585,0.0001433930315214
TXLNGY,-8.287837739302796,0.000656917241362
TTTY14,-7.294202616648722,0.0027264033145471
NLGN4Y,-6.796045449392962,0.0044126967927716
ANOS2P,-5.499889682448208,0.0277895953049085
UTY,-8.854812614118847,0.0002129721915872
DDX3Y,-9.46205290703784,8.42131438669319e-05
CDY4P,-5.409980343935327,0.0256840581224028
USP9Y,-9.589975362264092,7.965698577185235e-05
GYG2P1,-5.614399771575434,0.0202655936170813
ARSDP1,-6.0345538790883,0.0151701663338668
PRKY,-8.154479526503032,0.0007282401296533
LINC00278,-4.9724485291556135,0.0458981495932186
ZFY,-7.018680020489385,0.0032512115680544
RPS4Y1,-9.543443131882542,8.365030972360371e-05
ASMTL,-1.722231611469863,4.545024015709847e-06
CSF2RA,-7.929855133081559,0.0008809563130159
CRLF2,-4.967684764762894,0.0386236057038197
MAGEA10,-8.296929423549914,0.0006202541939768
GABRE,-2.040031053817961,0.0069384410619509
MAGEA4,-9.950868949636297,3.877344882109397e-05
FGF13,-5.1181587934917285,0.0348441154610452
ARHGEF6,-4.856808810351029,0.0440231947784715
HS6ST2,-2.9578033855590777,1.1188218724480097e-08
FIRRE,-7.04284286703141,0.0038052150498871
LONRF3,-5.8973182935462365,0.0138660002477891
IL13RA1,-1.927270647559772,1.1829108560109556e-05
NXT2,-2.2140306834957064,0.0015939853005176
COL4A6,-2.133514497998729,1.5773983827747322e-12
ATG4A,-2.0334089169101164,0.0033647980357497
NUP62CL,-1.890282798076814,0.007498685853787
BEX2,-2.558112980560708,0.0169888494335954
LINC00630,-5.581489089717324,0.0021697782183247
SYTL4,-2.446447262550388,2.6446892172588412e-05
SRPX2,-3.803049808341408,5.220550211042474e-06
TSPAN6,-1.512830759812824,0.0015047407059024
HDX,-2.507558497271972,0.0231668922710178
RN7SL648P,-2.127489813590317,0.0225771998550265
FTX,-2.7985707518976306,0.0128459134968584
NLGN3,-5.092966993189022,0.0347375638468692
YIPF6,-1.9413509136518776,6.701086141987633e-07
ZXDA,-1.573543077028857,0.0380732578590922
ZNF674-AS1,-1.891900519825258,0.0168673878499861
LINC01186,-3.54359310449392,0.0302349832311959
MAOA,-1.992238115020428,2.1575904033933345e-06
GAPDHP1,-2.8537587057241702,0.0142855010597506
DYNLT3,-1.9834118315645244,0.0002788266586299
FTHL17,-5.829013371350199,0.0201120579988307
GK,-2.3732673178782955,0.0004917605429477
MAGEB2,-6.538463538657792,0.0065313260174397
MAP7D2,-2.005316279045837,0.0041470785154337
SH3KBP1,-3.3526998525908795,2.7950639075668423e-19
CDKL5,-2.9816029788478344,1.7621016238379276e-12
SCML2,-3.654155520134516,0.0008716446004028
REPS2,-2.117088599407335,0.0002275208076387
CLTRN,-2.24175104548656,0.0176441070243103
GPM6B,-3.493352449839095,0.0240101573117303
GPX1P1,-1.6618740780726762,0.0260037729829029
CLCN4,-2.1989479245587704,0.0012306303788138
STS,-2.305861862493889,4.3034497077351826e-08
ODF3B,-1.5295953330166616,0.0348128874843295
MAPK12,-1.923224304425432,2.927854787483955e-05
PKDREJ,-3.806062172905901,0.0117837006245726
LINC00899,-3.3553190247940603,0.0026548929784496
FBLN1,-1.7907905324172952,5.417963220694787e-05
ARHGAP8,-4.784753950672041,0.0345204839822803
NFAM1,-5.169587307550568,0.0438456230086887
SYNGR1,-1.852113331523581,0.0247815160825676
PDGFB,-1.9875980796317303,7.336145319048415e-08
CBX7,-2.811633348780078,0.0002240253202488
APOBEC3F,-1.8950394286672083,0.0013857081706019
APOBEC3B,-2.334793153265992,0.0019268622395996
NPTXR,-3.9417054973020833,0.0103059483220708
FAM227A,-2.226546304214556,0.0425791410811503
