Gene,Log2FC,PVal
MAPT-IT1,3.281217783582872,0.0290518728416789
LRRC37A3,1.6246233516880622,0.0042969145950788
MT2P1,4.5163103533921785,0.0056054932132305
HLA-DRB9,5.095454873045492,0.0261842440387453
AGPAT1,1.532388577236737,0.0172611385611259
DDX39B-AS1,3.4173615153264256,0.0080219869828624
TUBB,1.8445934387923977,2.2952747354262172e-05
HLA-G,5.475720168743192,6.797170902111781e-06
HCG9P5,2.6412512049720025,0.0171645248664052
ZBED9,2.702056113372995,0.0058093611191043
HMGN1P37,3.960902655094527,0.0028119368344708
G6PD,2.2005124950755848,1.875227902382199e-05
MAMLD1,2.776559194636742,8.778743405786271e-05
TMEM185AP1,5.819082429721226,0.0024935100567074
LINC00893,1.9906252866862943,0.0358124872448646
IDSP1,4.684128637397937,0.000100715865077
RN7SL93P,6.024946565083433,0.0262882745437944
RNU1-57P,5.200185368094068,0.0089478145159108
QTRT1P1,7.756105585459284,3.982174528887612e-05
ARMCX4,1.944348610699577,0.0003167931135773
PGAM4,3.02951019213787,0.0300703435196889
RNU2-68P,2.8361117354480583,0.0259521755276992
GSPT2,7.4796220322745475,1.3757226791895457e-05
SHROOM4,6.366515234628323,7.387784496711457e-08
MIR502,3.819940988800625,0.0175370688911765
PHETA2,2.0644836582047024,0.0007740006311742
HIRA,1.931768785723432,0.046205914165292
KRT18P62,2.852332268913448,0.0425175777370446
CLTCL1,1.900077885337378,2.441171942363115e-05
NLRP2,9.363159042172478,2.486309967291057e-14
PRPF31,1.699375285245276,0.0130515884031668
ZNF43,9.052550984226365,6.931362810948382e-08
ZNF100,1.5150495093601375,0.0027945014687302
ZNF626,6.750681860661714,9.155732817065248e-07
ZNF737,5.786738726034535,5.6409778689865966e-08
BNIP3P17,4.353462050428292,0.0092617138287213
BNIP3P16,6.703890419046322,0.0003989806514349
ZNF486,6.5842190000949765,5.195253986740211e-09
ZNF90,1.714223488165183,9.849380052195288e-05
CBX2,2.6684744352409724,5.878969177667252e-05
FBXO36P1,4.267408040113168,0.0044253323505188
KRTAP2-3,3.133115224741103,0.0264118098376852
C17orf50,4.051618790400477,0.0043774355187394
MMP28,2.03993310135646,8.535135236088773e-08
RASL10B,2.4755495777995,0.0125064576933858
C17orf97,3.880017355344356,0.0003032958084356
CES1,3.856672744493842,0.006908430150063
HERC2P11,5.819082429721226,0.0024935100567074
CRIP1,2.6303980929566704,0.0031361679778884
P3H3,7.467981024253679,4.108238673166302e-16
DIXDC1,2.6319705524795225,2.6068059213478386e-07
CRYAB,3.511661547122784,6.262929659514369e-10
ST13P11,2.684049977040245,0.0360227871634702
SPON1,1.571425218631906,0.0010899602607274
RNU6-666P,5.632695602218113,0.0259409318630082
TUBAL3,5.982304472802634,0.0400894896636234
AKR1C3,2.615659297531181,0.00528625729516
AKR1C2,2.8734711812875218,6.352309852749576e-07
AKR1C1,1.561803539223916,0.0013632202232313
MAMDC2,2.7937283666051123,6.344618248686152e-07
PLEC,2.030489814741682,3.784835951497105e-06
GUSBP9,5.36024362755797,0.0003194009815979
GTF2H2C,1.7326724608623958,0.0168414305916442
DBET,5.200185368094068,0.0089478145159108
ABCA11P,2.1780347846592654,0.0302972756670414
ZNF732,8.575183303729268,1.1429894407496605e-06
ZNF876P,2.379584097214198,0.0084941394790865
TKT,1.6868120102814936,5.268180151459448e-05
MANF,1.912613597037163,1.4075827442834771e-08
HYAL2,2.538453030326304,3.1581272597681056e-08
HYAL3,2.094570614137025,2.948390734033709e-05
FANCD2P2,4.814551389710594,0.0064439373393257
HCN3,2.2100898460166123,0.0057088572810849
MTMR11,1.6838770852511848,2.688333718066188e-05
MIR5087,4.595545274938886,0.0377496756647927
GJA5,7.301131471684561,4.7828963055736094e-05
RNVU1-6,6.9794663222025335,0.0021917146723901
ANKRD34A,2.1147874855010738,0.0349881382295382
LIX1L,1.991059043401176,0.0003384696438356
PDZK1,2.180068803971905,3.7134396708173225e-07
RNVU1-14,5.850561123175562,0.0137819678806917
RNVU1-15,3.1866619683305863,1.323838109766147e-09
RNVU1-18,2.7629266836478164,0.0018291387004772
MXRA5Y,4.814551389710594,0.0064439373393257
TSPY5P,4.251269891004156,0.0157594323793326
MCF2,4.981939928361889,6.874463140063803e-06
MIR503,3.014009615357879,0.0296031588114305
APLN,6.998816461541837,4.509352266034345e-21
PAK3,3.716765037010149,0.0001698694574532
CHRDL1,3.887410527234437,0.0113226256578068
NLRP3P1,1.560512723726787,7.417852225357759e-05
TBC1D8B,3.203548994521058,5.514615030439885e-05
BEND7P1,4.2779889925867325,0.0154740240647601
PCDH19,2.8470241311303672,0.0002040067965551
RPSAP15,3.4185038753825587,3.41830582884236e-12
POF1B,3.3940437322600405,0.0002510506983771
ZNF711,2.5840838717905914,0.0124655303094833
HMGN5,2.1143186395806164,0.0038152782040942
CHMP1B2P,3.281217783582872,0.0290518728416789
XIST,11.721850730363297,3.490140147582408e-56
EFNB1,1.985306419570741,2.449817362078096e-13
SERBP1P1,1.7907331940740194,0.005556135160824
EDA2R,2.8196157416133327,1.0893927413008355e-05
ZC4H2,7.1444613166834605,5.667902322808327e-05
UQCRBP1,2.375916258676141,0.0094214678942164
TRO,4.13102333619976,0.0235985822188965
TSPAN7,4.343063232095894,0.0017691008834846
TMEM47,5.089081260341966,6.0308103600889565e-05
PCYT1B,4.2779889925867325,0.0154740240647601
NHS-AS1,2.1344235093182617,0.0220416890439785
GLRA2,3.832151829514307,0.0076877776241224
