Gene,Log2FC,PVal
LINC02210,-2.317671591029106,0.027634949800254
PSMB9,-2.198848396108857,0.00019033715664
TNXB,-4.708485128245178,0.0018437409784425
CFB,-3.761422429251184,0.0039071422065864
C2,-3.172283684588218,0.0425437208094798
VWA7,-3.703417459653633,0.0144099273596875
DDX39B,-8.796659076445424,0.01155966541289
HCP5,-4.123057361460507,6.289801504833073e-07
HLA-B,-4.090017480773093,2.8692522474064454e-13
HCG27,-5.244952684893799,0.0329870756025669
PSORS1C3,-1.80011814316812,0.0170161934676154
POU5F1,-2.0714469860752405,0.0020685505025168
FLOT1,-1.8290502195494909,2.6205850350926146e-05
HLA-L,-1.91661326828728,0.0484937431921493
TRIM31,-3.4516187184263205,0.0252884697289793
HLA-H,-5.138767703451296,1.389511877585551e-05
HLA-V,-6.293714354052602,0.0169814903674685
HLA-F,-3.221666571917748,0.0005079397857603
RN7SL471P,-2.368469873538768,0.0023422359227548
B3GALT4,-2.8782525289160388,0.0090430935578172
MPP1,-1.6639086833962695,0.0133054045581633
FAM50A,-1.8119405323261797,1.8915502813037997e-08
GDI1,-1.5206019083925737,0.0001005760970439
ABCD1,-4.0172770604061405,6.797020762968715e-07
ZFP92,-3.3164727228633364,0.0297178257812771
CD99L2,-1.543735433396534,3.537205756212843e-06
LINC00894,-1.810940712530696,0.0002358302119515
TMEM185A,-2.200750367936182,0.0411940321068517
ZNF75D,-1.5001952371871992,0.0008729451439905
SLC6A14,-8.447986886322127,0.000534724157605
DANT1,-2.368846033722392,0.0220145266754429
HNRNPH2,-7.350502302360826,0.0267617776844523
RPL36A,-4.934758410086298,0.0082029946213139
PHKA1,-1.873689641884489,4.624021155312609e-08
CCNB3,-4.978711732363128,0.0393400149555014
GPKOW,-1.514298736519055,2.7364251724833192e-05
KCND1,-1.6981908318352952,0.0112080388303089
PCSK1N,-5.581936804307787,0.023523886213342
ZNF630,-3.850232063244261,0.015402177193262
SLC9A7,-3.6629576110330406,1.5816202146394504e-18
LINC01311,-2.156623820243243,0.0179970449085457
TSPEAR-AS2,-5.130419044504561,0.0386088333297881
CDC42EP5,-1.7723819021776643,0.0378826495871598
LENG9,-1.695454219495355,0.0069274377681734
ZNF558,-1.699179065874477,0.0002991368994986
LRRC37A16P,-4.9083962399242855,0.0454177848617641
MILR1,-5.665014355357694,0.0190895779617829
DHX58,-2.155424908095477,0.002424468429058
C17orf113,-3.309465087627708,0.0288426558563821
FKBP10,-1.8981200261767264,2.682013156151081e-07
HAP1,-3.61787115982288,2.1859022930998363e-05
KRT34,-7.16912728671403,0.0030442766644075
SRCIN1,-5.952477429318079,0.0167101298991047
GPR179,-2.191667639866305,0.0498263008646654
IFT20,-3.228822037962154,0.0003611572479323
KCNJ12,-5.976552740375598,0.013751173583217
C1S,-2.7587455946015065,0.0049397371818047
MYO7A,-3.264995362522092,0.0390011415944091
CAPN5,-3.516620908640118,5.930266527376667e-05
SHANK2-AS1,-4.453886655476586,0.0029995159106208
SHANK2,-3.238311738866795,6.922226329493127e-16
WASHC2A,-1.554584120538808,0.004161434103816
TIMM23B,-1.7257460219321703,0.0489198560426419
PARG,-1.72368941692288,0.0049206187176098
ANXA8,-1.9616858493719624,0.0442972219052499
PTPN20,-4.386471377637768,0.0138272461729017
GPRIN2,-4.183761745297715,0.0001515814656803
PARGP1,-7.268950557083755,0.0279730170644901
ALOX5,-6.798097726256199,4.559699450931799e-06
GPSM1,-2.900192081558433,8.480976170536702e-09
SURF1,-1.8958103518325664,1.6661448883140455e-06
ABO,-2.7176465747176035,0.0032400914622038
HMCN2,-6.423301486716481,0.0102970748903265
CBWD3,-4.810152912001904,0.0001526524947292
BOP1,-7.155361047171302,0.0001103377822461
MROH1,-2.055115916233764,0.000146912166483
PARP10,-2.137027333096534,1.7557485767015618e-07
THEM6,-1.715745095980051,0.0001714325865674
LY6K,-2.8554336242047915,6.547809771959627e-13
PSCA,-5.075795242486087,1.8231342237654647e-05
MGAM,-2.6314394949665614,0.001536955595114
LINC00513,-3.711973980992513,1.8196756697521147e-06
MIR3609,-6.515915293822724,0.0422583055942245
SRRM3,-4.941620742326067,0.0406154476758948
GTF2IP7,-3.069843581081312,0.0071360952774618
STAG3L1,-2.759930217794317,0.0005370952603415
GTF2IP1,-2.3759707834414687,0.0088416487237351
GTF2IRD2B,-2.9339088989489643,0.0263026678329841
CASTOR2,-6.876724453969028,0.0348737979049485
CLIP2,-1.5455624958100256,0.0025515782280072
METTL27,-3.857078062440611,3.794400101976376e-05
CLDN4,-3.062522673184914,4.881605117495204e-07
MLXIPL,-2.901078437960105,0.0024849982009898
NSUN5,-1.7119834926449595,3.3538206116833694e-05
GTF2IP4,-4.934367127237628,0.0064867797221336
LAMA4,-8.207527462495907,3.1385684642702785e-08
CD24,-9.008075815385064,0.0105423156261408
SMN1,-2.0065040342748497,0.0180682789198141
OCLN,-3.115067463610359,4.9594330040638285e-08
AADACL2-AS1,-5.691516598523271,0.0191925517120561
SEMA3B,-2.651690686202291,6.32427272837925e-13
ADD2,-6.295185414628351,4.113481503698523e-09
NBPF14,-3.939493432187764,0.0079947801824454
NBPF11,-4.854099586756316,0.0064256506842667
ACP6,-1.7330034508235097,0.0001153983784356
NBPF12,-7.267739720689604,0.0280652938038764
TXNIP,-4.414072551447881,4.578536848198978e-24
SRGAP2B,-2.301039914325091,0.0090892239816194
NBPF8,-3.036338144827988,0.0294825068280242
SEC22B,-6.031982043989004,0.0005579884680493
SPRY3,-3.680085655476528,0.0006883878257777
EIF1AY,-7.191686371782733,0.0028602553749461
KDM5D,-8.925331305282379,0.0001929643212209
TXLNGY,-8.155780552108347,0.000845347795755
TTTY14,-7.162111798394702,0.0033956177644261
NLGN4Y,-6.663676010303761,0.0054769901595571
ANOS2P,-5.368414849344076,0.032366627295326
PSMA6P1,-2.035000970487772,0.0397612203749187
UTY,-8.72242976532083,0.0002838412658093
DDX3Y,-9.329808012972723,0.0001140777582621
CDY4P,-5.277866866361099,0.0302602956942738
USP9Y,-9.45793095441462,0.0001073103736087
GYG2P1,-5.48199879744294,0.0240739986117889
ARSDP1,-5.901025231592388,0.0179797137886037
PRKY,-6.578683517604119,1.4254932998267884e-05
ZFY,-6.886370776453123,0.004067365047101
RPS4Y1,-9.410563993237066,0.000112442451649
CSF2RA,-7.797754404876733,0.00113673497465
CRLF2,-4.835404599905119,0.0451548389391182
MAGEA10,-8.16410773677591,0.0007993121833316
MAGEA4,-9.818035949356842,5.307068529492898e-05
FGF13,-3.5368639004720017,0.0209730944563368
MOSPD1,-1.730533077884383,0.0081939649941375
HS6ST2,-2.5656236886686754,1.3818555193448706e-07
FIRRE,-6.910737155735707,0.0047021771056762
OCRL,-1.6526618290949302,5.495391430439387e-06
LONRF3,-5.765175793012305,0.0166766723764138
IL13RA1,-1.707916794517132,2.787409623152936e-06
COL4A6,-2.0400218543688218,2.3425175892458155e-08
ATG4A,-1.6943281421006198,0.0039450327389797
BEX2,-2.308459034617254,0.0171440876862177
LINC00630,-2.484956961195817,0.0264955854331549
SYTL4,-2.7884676161908986,1.5024652597253984e-05
SRPX2,-3.638855844577432,1.1425768667363859e-09
RLIM,-1.5580580274959732,0.0002067125783117
RN7SL648P,-2.536991052114594,0.0205764073096237
FTX,-3.563809650105925,0.0024021206142916
GCNA,-2.361314008357228,0.0105963621648398
NLGN3,-2.530587705562376,0.0248237024297156
YIPF6,-2.028740036440454,7.160132710872709e-06
ZXDA,-1.6275105888627674,0.0134925944538341
ZNF674-AS1,-4.027629432050501,0.0068691744409392
KRBOX4,-2.127472545119223,0.0351813165354042
MAOA,-2.4012603861288557,6.504052616387712e-07
CXorf38,-1.5150611846149613,0.0003472109364148
GAPDHP1,-3.1994761410028967,0.0179279935952379
DYNLT3,-1.6411949559872745,0.0018733376536329
FTHL17,-5.695250490905339,0.0236095454634522
TAB3,-1.70258916810361,3.067051164941905e-06
GK,-5.197701981611455,0.0005831700516505
MAGEB2,-6.406342045568023,0.0079968579295667
MAP7D2,-1.8184117001379607,0.0049061070286115
SH3KBP1,-2.376242361017749,8.709240489181472e-11
CDKL5,-3.188652934206806,1.0480310728650769e-10
SCML2,-3.4944882217457147,0.0013292111642454
SCML1,-1.7912928904483212,0.0003195314577199
REPS2,-3.229201249116608,2.5135337690117188e-05
CLTRN,-5.096112831778914,0.034743547675537
GPX1P1,-5.532020615277703,0.0226311176920921
CLCN4,-2.508176336571285,0.0003147184424313
STS,-2.169459158328191,1.98805864674109e-07
MAPK12,-2.0585934205366136,4.675173984131314e-05
PIM3,-1.7305076792304457,2.070183217376249e-05
PKDREJ,-5.106961455397763,0.0349681105247237
LINC00899,-4.236359748905992,0.0049842578504037
FBLN1,-1.804273888507412,4.684810815151123e-05
BIK,-1.966715479703386,0.0047602052308767
PDGFB,-1.5581152206141562,4.8395199856724845e-05
CBX7,-3.120748564089407,0.0001750099991151
APOBEC3F,-2.3852058872002178,0.0007069027976044
APOBEC3B,-2.19710317636226,0.0034834233614351
KDELR3,-1.594795457168609,0.0116938441507946
CSNK1E,-5.024307549112662,0.0002500847434256
MAFF,-1.5508750605235788,0.0095298842413153
TST,-1.548147027670468,0.0154802185900748
APOL1,-4.464981481750801,1.178058095689121e-21
APOL2,-2.627083981840474,6.638818341619619e-12
APOL3,-3.781672151378565,3.62265962109878e-05
APOL6,-1.644786903524012,6.643780919398494e-07
TOM1,-1.5364162487384905,6.62588977233712e-06
SELENOM,-4.2002751509977285,3.734858533050065e-07
EIF4HP2,-1.7122133790244825,0.0479883528319144
OSBP2,-3.400662650656181,6.042594565580944e-17
SLC35E4,-2.1592998183817262,0.0004502773665923
TCN2,-2.7638134544199637,0.0116033978484278
LIF,-2.496355211164603,2.732797370736823e-09
TTC28-AS1,-1.828105321577476,0.0104094269584444
DDTL,-3.4310819136086947,0.0243557965350404
PRAME,-6.436991497289819,0.0442478602124705
SLC9A3P2,-5.525776110768444,0.0247229591094586
SMPD4P1,-7.088422411484159,0.0038608380268024
SCARF2,-2.4620276579995,0.0014677709763416
TBX1,-1.972505201200351,0.0007428783470493
USP18,-3.5740911078531243,0.0010661178671279
BID,-1.6431865207913747,1.170207742831164e-05
CECR7,-7.06436949340644,0.0033081086890014
COL6A2,-5.704757416349075,0.0182246395190611
COL6A1,-2.4610019336623163,0.0001536706715949
LINC01547,-5.2012898229976585,0.0331068361657382
ITGB2,-3.736875286243441,0.016420532457025
LRRC3,-4.2208694414320895,0.0007837656865468
TRPM2-AS,-2.916825128152217,0.0169492931835083
TRPM2,-7.788268173721343,0.0012101776308033
ERVH48-1,-2.5760546904716666,0.021004290670836
PDE9A,-5.447936118171369,0.0002478234240924
SLC37A1,-1.8997515390687163,1.162994727735068e-05
ABCG1,-4.8646708465815856,1.141609826557049e-06
TMPRSS2,-6.460641064000184,0.0075431612516159
MX1,-3.727442118485,5.108435617619641e-10
MX2,-5.532661071497569,0.0226794757609582
SIM2,-8.436206187110256,0.0004193693848403
CBR3-AS1,-5.964344315202863,0.0160071807276347
LINC00649,-3.825084216991821,0.0002288989543316
MAP3K7CL,-2.452418653754419,0.0044062664239073
NRIP1,-1.6446319787329684,1.0546073623712912e-06
LINC02246,-3.1166999272000866,0.0384340128059389
PCMTD2,-1.7421613897145194,0.0005100700782601
TCEA2,-1.5816552905675865,0.0028280040245782
C20orf204,-2.5093219118749923,0.0004526760430808
SAMD10,-1.5362356088754796,0.0304143825322155
ZBTB46,-2.675733223757014,0.0146316522075368
ARFRP1,-1.5353747187105111,0.0007997848598407
RTEL1,-2.3108466404255577,0.0215207823937806
RTEL1-TNFRSF6B,-6.727010237944305,0.0385326472747158
STMN3,-4.9711324478641705,1.4191620609097673e-07
MHENCR,-1.7156452891931555,0.008754255120222
EEF1A2,-4.685394995196391,0.0017344202166779
SLCO4A1-AS1,-5.536559595909309,0.0001833644380473
SLCO4A1,-5.417194215682396,6.050093253825237e-34
OSBPL2,-1.7765547002204147,8.167767909255618e-05
SYCP2,-3.2683541574448767,0.034862193745184
PRELID3B,-2.7241017863925223,0.0008064077924145
ATP5F1E,-6.634203554899837,0.0001284416755611
NPEPL1,-2.073555117436038,0.0339595885175372
CYP24A1,-1.9450992573115116,0.0305205430785454
SALL4,-2.843790723233114,0.0069916005386558
ATP9A,-3.4971698530485917,1.8861388380575056e-19
PARD6B,-1.962375816545215,4.405461173200998e-05
CEBPB,-2.3419685866691378,3.8707519847669354e-08
UBE2V1,-1.6540080170271374,0.0035247900205902
SNAI1,-5.993375810457446,0.013673961084119
RNF114,-2.0634634646604355,7.618361814318571e-11
PREX1,-5.118935601078797,2.7938521101140786e-06
SLC13A3,-1.7296132381225244,0.0072848931713371
WFDC2,-4.3170814212222695,5.129676214926467e-05
SLPI,-3.186534550732453,1.5126517147438239e-09
PI3,-6.055579845381833,0.021595900820376
ADA,-1.744399605613753,3.0011730281927576e-05
OSER1-DT,-2.553794136569762,0.0217012197343962
OSER1,-1.5728037498795695,0.0001311187124176
TOX2,-7.152240565198055,0.003015403286193
ARHGAP40,-4.444696584358643,0.0091020474869559
SNORA71B,-1.9915696494959785,0.016537969341737
SNHG17,-1.5300347297441377,0.010934341573703
VSTM2L,-5.212275350805405,0.0351357391367714
MYL9,-2.3563875328717967,1.5368552902351753e-05
EPB41L1,-3.1992448593235863,1.841961707537024e-14
FER1L4,-7.750573011645335,2.423664467326149e-07
EDEM2,-2.8929187918490764,0.0233175762507189
MYH7B,-2.3233623883863506,0.0015286311067211
TP53INP2,-1.6900929575871917,0.0153091710146522
ZNF341,-1.5311212129269085,0.0001911700183532
NECAB3,-2.0189016886665496,1.3675636058444193e-05
SNTA1,-3.7179403989814377,4.683497129271717e-08
DNMT3B,-3.059735215124592,2.6446269356703885e-11
NOL4L,-4.690453385609562,1.7367867510078318e-05
BCL2L1,-2.13059977041657,2.3873996715813874e-20
ID1,-3.675871560705104,5.865194965592746e-20
ZNF337-AS1,-2.613169755143885,0.0027578347779855
NINL,-1.7292189350835008,0.0001209761214172
THBD,-4.859520773000946,6.171537373868033e-17
RPL41P1,-3.983743973730113,0.0304366527141992
KIZ,-2.1396590669646205,0.0003937111541429
PLCB1,-1.7069089393389796,0.0482194581543471
BMP2,-2.426090038913192,0.0002176241765264
EIF4EP1,-1.8243619593105584,0.0310769943835139
GPCPD1,-2.866586826462304,2.228791647954175e-09
ADRA1D,-6.618439136318842,0.0061394489037202
SMOX,-1.6046321166844606,0.0006633799386907
SIRPB2,-2.3802277995289214,0.0333460423386607
ACTG1P3,-2.1980019841214355,0.0031840962120248
SLC52A3,-2.2052131149378806,0.0041471545403086
SLC27A5,-2.9677053970710348,0.0001722054800242
ZNF773,-1.5529079010569,0.0316146933276837
TMEM238,-1.544006110897988,0.0191564874272957
IL11,-3.040388697473467,0.0099615869811519
COX6B2,-3.912396768989328,0.0011183959175782
BRSK1,-4.675726200403696,0.001769968976392
PTPRH,-7.378809197844466,0.0020697212651093
ZNF528-AS1,-2.9949090496340043,0.0114011633444578
ZNF836,-2.486309602065181,0.0229930057792995
ZNF841,-1.644057202407163,1.2230918889128063e-05
ZNF432,-2.2285501518638866,0.0002045931153959
MYH14,-1.52881115029626,0.030211963631975
KCNJ14,-1.9481023882337185,0.0122475496930004
GRIN2D,-4.758001452638822,6.4512105921122346e-12
CARD8,-2.2523314361744866,0.0011434028563096
PNMA8A,-4.409158021979838,2.1168378397500137e-06
TRAPPC6A,-4.404303888747874,0.0031348849606295
CEACAM19,-2.5363499512007244,0.0001280097197603
CD177,-2.912583378629486,0.0114637826868949
PSG9,-5.207446332190163,0.0310524793170418
PSG4,-4.907992694783653,0.0009261438759698
PSG5,-2.5258239900000428,0.002584815254152
PSG11,-4.906281167984613,0.0024141286409452
CEACAMP7,-5.099663575524218,0.0353746413751839
PSG7,-7.392863584803198,0.0024435390808387
PSG6,-5.448597413948971,1.6880098578163996e-06
PSG1,-6.593782429880115,1.4429143474273056e-05
PSG10P,-2.1603481501520267,0.0310325615504397
CEACAM1,-3.334413959132461,0.0002735982000102
EXOSC5,-2.019568883632683,4.060409703234067e-05
LRFN1,-3.88492660403637,0.0154603957416013
ACP7,-4.375062196151288,0.0041299190616928
LINC01535,-1.8540496211575612,0.0313408972375434
ZNF850,-2.526840745321002,0.0002619202108863
ZNF567,-1.6643213550702936,0.0258800552545093
ZNF461,-2.118536684854293,0.0095198712926783
ZBTB32,-4.804588627794654,0.0471934774708787
ZNF181,-1.825261689004831,0.0469232452634129
RHPN2,-2.3265011584569173,6.499597331897424e-08
ZNF681,-1.6809398769722237,0.0192081203899165
ZNF493,-2.24086555994986,0.0067534878583376
ZNF93,-1.5307178593005546,0.0039556375687053
GDF15,-6.64410699858354,5.563806634398393e-14
PGPEP1,-2.489732131804411,4.414095589465891e-06
IQCN,-4.0724773134339305,0.0068470505083793
MAST3,-1.902061414230404,0.002821151369338
ARRDC2,-2.3601439638155326,2.0739328369617863e-05
JAK3,-4.044227024947603,0.0131573147505335
B3GNT3,-1.8330007121863,7.838425693446978e-06
BST2,-8.72387982252998,0.0002886484571141
TMEM38A,-3.0663282713492546,0.0055087998300851
C19orf44,-1.7444310358495234,0.022738944063185
KLF2,-1.955514403474776,0.0390297997106984
HSH2D,-6.147953747304942,0.0115974553464608
UCA1,-9.916702354598325,6.452550774758121e-11
ITGB1P1,-2.861870968105738,0.0446950108529664
PKN1,-4.304505806480674,5.0764869622814705e-15
ZSWIM4,-1.7101394697542558,0.0006870173287067
MAST1,-5.1315474646956,0.034922253485989
ZNF791,-1.7065778412221284,3.173279070967469e-05
ZNF442,-4.173846231244602,0.006425231482738
