Gene,Log2FC,PVal
MT2P1,4.589927259829472,0.0046945108948667
TNF,4.145474638927264,0.0299590970591564
TUBB,1.8561432828763351,2.015858246695368e-05
HLA-G,5.1159739199205765,0.0017358225337492
HCG4,2.482035626081771,0.0294122818002935
SUMO2P1,2.345174165886708,0.0228373857518101
HCG9P5,3.510752412549781,0.0005955651904747
RPL3P2,2.4530909969366927,0.0113735967463236
HMGN1P37,3.5126716177556965,0.020583921250521
G6PD,2.235859605582301,1.850587628406121e-05
HCFC1-AS1,1.704783052061262,0.0347168214500345
ARHGAP4,1.806162679112602,0.0094049777920821
GABRQ,4.031193958241179,0.0052878871375891
MAMLD1,2.688320775160365,0.000196902323593
LINC00893,2.1398321436706804,0.0245973508298656
IDSP1,5.914484875261643,1.4552059920631245e-07
QTRT1P1,6.340006683531968,0.0004765534675834
ARMCX4,1.500894514429484,0.0092253030057586
WNK3,3.358893937816081,0.000510609948089
FAM156B,1.8377409961633968,0.0291694150882138
GSPT2,8.03737219562207,1.3212296095938231e-06
SHROOM4,6.494055094236979,1.1077175386584789e-07
PHETA2,2.0813386440381105,0.00051628904449
CLTCL1,2.2052246303620557,6.29945828796285e-07
NLRP2,9.041653563966312,3.498249822509468e-13
ZNF43,9.1193928371346,7.341408337388322e-08
ZNF626,7.820131158642035,1.5991732725792884e-09
ZNF737,6.7438373633646105,2.5948184494577967e-11
BNIP3P17,4.448678277789473,0.0122759898267761
BNIP3P16,6.4290290227524585,0.0266865922773555
ZNF486,7.235383999516109,6.366219194692127e-11
ZNF90,1.548918723629778,0.0008785973367344
CBX2,2.3860843410312333,0.0013807507927819
SLC16A6,2.0837023576946696,0.0297013415302007
KRT31,3.859125710238713,0.0009096786869962
C17orf50,4.210915032715231,0.0063901931342902
MMP28,1.9826420536978635,2.94671337384182e-06
RASL10B,2.3064672690117307,0.0196279910520854
CES1,5.675977064789245,2.021523722846176e-07
CRIP1,2.047366187211064,0.0210693289095427
TAS2R20,2.55546222019905,0.0003951360761062
TAS2R50,3.824356858423627,0.0015288332885432
TAS2R14,2.43279970180826,0.0124741915873675
PRH2,2.26201450125664,0.0113143076905075
RNU7-1,5.197762747885421,0.0273924917464232
P3H3,7.729322133194649,5.8419380835341526e-18
CD4,4.006364534337578,0.0059464000644885
DIXDC1,2.6877963266596354,3.255887204968504e-07
CRYAB,3.426867741704492,1.2045077971129611e-09
ALG9,1.902383444742404,4.891814278908647e-05
ATRNL1,4.264808757193224,7.168806727361926e-05
AKR1C7P,5.850929560465412,0.0235056000759086
AKR1C3,2.6506659947943416,0.0013091135209983
AKR1C2,2.9938442718997424,1.4339112866873662e-07
MAMDC2,2.1485650699008367,0.0004399554857356
PLEC,1.9674428182999792,7.118359346688929e-06
CPA5,4.959534888802846,0.0057453602162023
SPDYE1,1.806796102903484,0.0001511904676536
POM121B,2.648912922692789,0.0368434010116439
GUSBP9,5.6776800920195365,0.0045011233829445
ABCA11P,2.652493998692814,0.0031104275304821
ZNF732,8.921377901259028,3.685736689804589e-08
ZNF876P,3.5200411976449018,4.679692163586622e-05
FHIT,2.9312082018640053,0.0011810328369486
TKT,1.604918423890939,0.0001199282114239
MANF,1.8936389899955497,1.851005430431961e-09
HYAL2,2.2590564719448816,5.140624441334936e-11
HYAL3,2.048465058204232,6.657210901566212e-05
HCN3,1.9883904894221716,0.0137493287840135
MTX1P1,2.431285032298197,0.0025279622056564
GJA5,6.974937124838433,0.0005517894879667
PFN1P8,5.850929560465412,0.0235056000759086
RNVU1-6,6.002968428888623,0.0157928549494297
ANKRD34A,2.8357123839137133,0.0128853696255651
LIX1L,2.3365422394370694,1.0615565588270128e-05
PDZK1,2.2047644992775024,3.7228417312053594e-06
RNVU1-14,5.505464640750668,0.0199025355954167
RNVU1-15,2.1761190838408666,0.0005836969027599
RNU1-143P,5.404594588063282,0.0323511846256727
RNVU1-18,2.45599439976236,0.0095273186323812
MCF2,4.4984557810889605,9.98210922680819e-05
MIR503,3.172575006113202,0.0285055406266003
APLN,6.805691190922844,7.834157945583479e-20
FERP1,3.152679308714041,0.0006248608786364
CAPN6,4.420462504904442,0.0125110484386223
PAK3,3.624866087415013,6.750469109779577e-05
CHRDL1,3.435897937848322,0.0102468689121218
